timestamp_ms,symbol,side,entry_price,base_sl_pct,base_tp_pcts,ai_sl_pct,ai_tp_pcts,pnl_pct,reason
1774528582176,UBUSDT,SHORT,0.02842000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774528737069,OPENUSDT,SHORT,0.17560000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774528808955,KITEUSDT,SHORT,0.21353000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774528918706,OGNUSDT,LONG,0.02410000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774528980615,OPENUSDT,SHORT,0.17150000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774528998052,KATUSDT,SHORT,0.01376000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774529154221,SIRENUSDT,SHORT,1.86847000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529154252,BRUSDT,LONG,0.18181000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774529172953,BEATUSDT,SHORT,0.54560000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529231420,SIRENUSDT,SHORT,1.86847000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529231433,BRUSDT,LONG,0.18181000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774529231508,BEATUSDT,SHORT,0.54560000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529342825,BEATUSDT,SHORT,0.54560000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529418960,CYSUSDT,LONG,0.39690000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529427375,BSBUSDT,LONG,0.15770000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774529517771,BSBUSDT,LONG,0.15770000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774529517788,CYSUSDT,LONG,0.39690000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529601226,UBUSDT,LONG,0.02952000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774529610674,BSBUSDT,LONG,0.15845000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774529683816,SIRENUSDT,LONG,1.96254000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529696174,UBUSDT,LONG,0.02952000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774529698135,BSBUSDT,LONG,0.15845000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774529768662,SIRENUSDT,LONG,1.96254000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529774452,BEATUSDT,LONG,0.57860000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529834675,GTCUSDT,LONG,0.09200000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774529880632,BEATUSDT,LONG,0.57860000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774529956391,GTCUSDT,LONG,0.09200000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774529962451,BEATUSDT,LONG,0.58970000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530058928,BASUSDT,SHORT,0.00969400,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774530058938,BEATUSDT,LONG,0.58970000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530145339,BASUSDT,SHORT,0.00969400,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774530151293,BEATUSDT,LONG,0.59370000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530154975,CYSUSDT,SHORT,0.38290000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530238414,BEATUSDT,LONG,0.59370000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530241258,CYSUSDT,SHORT,0.38290000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530586604,SIRENUSDT,LONG,2.02240000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530679156,SIRENUSDT,LONG,2.02240000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530776505,NAORISUSDT,SHORT,0.06513000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530859066,NAORISUSDT,SHORT,0.06513000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774530956457,BASUSDT,SHORT,0.00927200,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774531036125,BASUSDT,SHORT,0.00927200,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774531144207,BASUSDT,SHORT,0.00925200,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774531225545,BASUSDT,SHORT,0.00925200,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774531666894,SIRENUSDT,SHORT,1.95979000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774531763815,SIRENUSDT,SHORT,1.95979000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774531773423,CYSUSDT,LONG,0.37850000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774531863906,CYSUSDT,LONG,0.37850000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774532365872,COLLECTUSDT,SHORT,0.05222000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774532565137,PARTIUSDT,LONG,0.08641000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774532596227,UBUSDT,LONG,0.02804000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774532985658,PARTIUSDT,LONG,0.09235000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774533015809,BASUSDT,SHORT,0.00870000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774533044046,FOLKSUSDT,LONG,1.16000000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774533222131,CELRUSDT,LONG,0.00277000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774533268562,PARTIUSDT,LONG,0.10020000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774533512689,PTBUSDT,SHORT,0.00180400,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774533994434,PARTIUSDT,LONG,0.10304000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774534259274,BASUSDT,LONG,0.00860900,2.000000,2.000000;4.000000;6.000000,1.831202,1.944045;3.903092;5.829893,,
1774534445227,MUSDT,SHORT,1.99570000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774534484987,BASUSDT,LONG,0.00916200,2.000000,2.000000;4.000000;6.000000,1.825744,2.118299;4.239705;6.324334,,
1774534768762,BASUSDT,LONG,0.00921500,2.000000,2.000000;4.000000;6.000000,1.877113,2.023001;4.048900;6.060846,,
1774534992150,HANAUSDT,LONG,0.04210000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774535174547,BASUSDT,SHORT,0.00937500,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774535216644,HANAUSDT,LONG,0.04255000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774535458810,ESPORTSUSDT,LONG,0.37660000,2.000000,2.000000;4.000000;6.000000,1.885393,2.069657;4.149924;6.263250,,
1774535642904,PTBUSDT,SHORT,0.00171700,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774535663123,BLUAIUSDT,SHORT,0.00797700,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774535875196,PTBUSDT,SHORT,0.00166000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774535917228,MUSDT,LONG,2.07380000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774536115840,MUSDT,LONG,2.02560000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774536260500,MUSDT,LONG,2.02560000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774536486148,PTBUSDT,SHORT,0.00157700,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774536492509,JCTUSDT,SHORT,0.00313900,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774536647439,JCTUSDT,LONG,0.00316500,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774536840141,PTBUSDT,SHORT,0.00154300,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774537035913,CYSUSDT,LONG,0.42000000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774537112255,PTBUSDT,SHORT,0.00159300,2.000000,2.000000;4.000000;6.000000,1.568187,1.743468;3.488675;5.115387,,
1774537321078,BASUSDT,SHORT,0.00896500,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774537327704,PTBUSDT,SHORT,0.00147500,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774537337495,BOBUSDT,LONG,0.00549000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774537384235,MUSDT,LONG,2.12180000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774537563664,BTRUSDT,LONG,0.03830000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774537569409,ARIAUSDT,LONG,0.28872000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774537576349,RIVERUSDT,SHORT,17.83000000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774537603128,PTBUSDT,SHORT,0.00149600,2.000000,2.000000;4.000000;6.000000,1.636897,1.761586;3.537398;5.138919,,
1774537813780,CYSUSDT,LONG,0.43890000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774537818691,KATUSDT,LONG,0.01393000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774537820804,PTBUSDT,LONG,0.00157300,2.000000,2.000000;4.000000;6.000000,1.608401,1.763341;3.529786;5.236800,,
1774538043949,ESPORTSUSDT,SHORT,0.37804000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774538049018,PTBUSDT,LONG,0.00162300,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774538064584,CYSUSDT,SHORT,0.41570000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774538076812,LYNUSDT,SHORT,0.05448000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774538296985,PTBUSDT,LONG,0.00169500,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774538347048,APRUSDT,SHORT,0.14725000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774538535034,JCTUSDT,LONG,0.00315200,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774538687695,ENJUSDT,LONG,0.02166000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774538770160,APRUSDT,SHORT,0.14973000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774538868265,ENJUSDT,LONG,0.02099000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
